A-(1)	"ئەی"
device-driver	ئامێروەگەڕخەر
DHCP	پرۆتۆکۆلی ڕێکخستنی خانەخوێی بزۆک
DHTML	زمانی هێمادانانی سەروودەقی بزۆک
diagram	پێنوێن، خشتە، نوانە
dial	١ـ ژمارەگر ٢ـ ژمارەگرتن
dial-up	١ـ ژمارەگری ٢ـ ژمارەگریکردن
digit	ڕەنووس
digital	دیجیتاڵ، ڕەنووسی
digital-audio-disk-(=-DAD)	دیسکی دەنگیی ڕەنووسی، سی‌دی‌ی دەنگی
digital-audio-tape-(=-DAT)	شریتی دەنگیی ڕەنووسی، "دات"
digital-technique-	تەكنیكی ژمارەیی، تەکنیکی ڕەنووسی
dimension	١ـ دووری، لا (پانی و درێژی و ئەستووری) ٢ـ لاکان ٣ـ ڕادە ٤ـ مەودا، گرنگی
direct	ڕاستەوخۆ
direction	١ـ بەڕێوەبردن، سەرپەرشتی ٢ـ ناونیشان ٣ـ فەرمان ٤ـ ڕێباز، ڕێڕەو ٥ـ لا، ڕوو، ئاست، ئاراستە
directory	پێڕست
DirectX	(DirectX)، دیرێکت‌ئێکس
disable	١ـ لەكارخستن ٢ـ نەتوانکردن
disk	پەپكە، دیسك
disk-drive-(=-drive-=-disk-unit-=-DD)	دیسکلێخوڕ، دیسکوەگەڕخەر، پەپکەلێخوڕ، پەپکەوەگەڕخەر
display	پیشاندان
distribution	دابەشكردن
DLL-(Dynamic-Link-Library)	پەرتووكخانەی بەستەری بزۆك
DNS-(=-Domain-Name-System)	سیستەمی ناوی پاوان
document	بەڵگەنامه
domain	دۆمەین، پاوان
domain-name	ناوی دۆمەین، ناوی پاوان
done	کراو، جێبەجێکراو
dongle	کڵۆمی سەختەواڵە
DOS-(1)-	(DOS)، دۆس، سیستەمی کارپێکردنی دیسکی
DOS-(2)-(=-MS-DOS)	(DOS)، دۆس، ئێم‌ئێس‌دۆس (کورتەی ناوی بازرگانیی " MS-DOS ")
DOS-(3)	(DOS)، دۆس
dot-(.)	خاڵ
double	دووئەوەنده
download	داگرتن
draft	پێشنووس، ڕەشنووس
drag-and-drop-	ڕاكێشان و فڕێدان
drawing	وێنەكێشان
drive-(1)-	١ـ دیسکوەگەڕخەر، دیسکلێخوڕ، دیسکئاژۆ ٢ـ نەوار "شریت" لێخوڕ ٣ـ دەزگاوەگەڕخەر، دەزگالێخوڕ، لێخوڕ ٤ـ وەگەڕخستن، لێخوڕین، ئاژۆتن، وەگەڕخستنی دەزگا
drive-(2)	١ـ بزواندن ٢ـ وەگەڕخستن
driver	وەگەڕخەر
driving-licence	كارتی لێخوڕین، لێخوڕنامە، ئاژۆتننامه، مۆڵەتی لێخوڕین
dual	دووان، دووانه
DVD-(=-digital-video-disc-=-digital-versatile-disc)	دی‌ڤی‌دی
DVD-burner	دی‌ڤی‌دی سووتێنەر
DVD-Reader	دی‌ڤی‌دی خوێنەر
dynamic	بزۆك، بەجووڵە، جووڵەدار،
dynamic-address-translation-(=-DAT)	وەرگێڕانی ناونیشانی بزۆک
debug-(1)	ڕاستكردنەوە، هەڵەدۆزین، هەڵەسڕینەوە
debug-(2)	سیخوڕسڕی، سیخوڕسڕینەوە
debugger	هەڵەدۆز، ڕاستكەرەوه، هەڵەسڕ
decode	كۆدهەڵوەشاندنەوه
decoder	كۆدهەڵوەشێنەر
decompile	وەرگێڕاندنەوە
decompiler	وەرگێڕێنەر
decompress	شیتەڵكردنەوە
decryption	ئاشكراكردن
dedicated	تایبەتمەند
default	بنەڕەت
defragment	دێفراگمێنت، یەکخستنی پارچەبەندبووەکان، ڕێكخستن و خستنەپاڵیەكی هەڵگیراوەكانی ناو پەپكە
delete	سڕینەوه
demilitarized-zone-(=-DMZ)	DMZ، ناوچەی سوپالێدەرکراو، ناوچەی بێسوپا، ناوچەی سوپالێکێشراو
demo	پیشاندان
E	"ئی‌"
E-	"ئی"
e-commerce	بازرگانیی ئەلەكترۆنی
e-mail	پۆستی ئەلەكترۆنی، ئیپۆست، ئیمەیل، ئیمێڵ
eBook	پەڕتووكی ئەلەكترۆنی، كتێبی كۆمپیوتەری، ئی‌بووك
ECDL	كارتی لێخوڕینی كۆمپیوتەر لە ئەورووپا ـ لێخوڕنامەی ئەورووپیی كۆمپیوتەر
echo-(1)	ئێكۆ، زایەڵه
echo-(2)	پەیام
echo-(3)	١ـ زایەڵە، گەڕانەوە (زاراوەی گشتی بەتایبەت سەبارەت بە گەڕانەوەی دەنگ) ٢ـ زایەڵەکردن، گەڕانەوە (گەڕانەوەی هێما لە ڕێڕەوی ناردراودا)
ECHO-(4)	ئێكۆ
ECP-	(ECP)، ئی‌سی‌پی‌، دەرگا بە لێهاتووییەکانی پەرەسەندوو
edit-(1)	دەستكاری، دەستكاریكردن
edit-(2)	١ـ هەڵەبڕی، هەڵەبڕیکردن (لە گۆڤار و ڕۆژنامە)
edit-(3)	بژار، بژارکردن، هەڵوەژارتن (ڕێکوپێککردنی فیلم)
editor-(1)	دەستكاریكەر
editor-(2)	١ـ هەڵەبڕ (هەڵەچن و هەڵەگیری گۆڤار و ڕۆژنامە) ٢ـ سەرنووسەر (ی گۆڤار و ڕۆژنامە) ٣ـ نووسەر (ی گۆڤار و ڕۆژنامە) ٤ـ  نووسەر (پرۆگرامێکە کە بۆ نووسین بەکار دەچێت) ٥ـ پێداچوو، ڕاستکەرەوە
editor-(3)	١ـ بژارکەر، هەڵوەژار (کەسێ کە کاری ڕێکوپێککردن و ئامادەکردنی فیلمێک دەکات) ٢ـ بژارکەر، هەڵوەژار (جۆرە پرۆگرامێکە‌ کە بۆ ڕێکوپێککردن و بڕین و چاککردن و ئامادەکردنی فیلم بەکار دەچێت)
edu	١ ـ پەروەردە، فێركردن ٢ـ درێژکراوەی ئەو ناونیشانە وێبییانەی کە بە فێرکردنەوە خەریکن، وەک چۆن (com.) و (org.) هەیە
effect	کاریگەری
element	توخم، ئەندام، بەش
email-group	گرووپەپۆستی ئەلەكترۆنی
emulator	لاساییكەرەوە
enable	تواناپێدان ـ توانپێدان
encode	١ـ نهێنبەندی ٢ـ نهێنبەندیکردن
encoder	بەكۆدكەر
encryption	نهێنیكردن
encyclopedia	زانیارینامە
end-	كۆتایی
energy	وزه
engine	بزوێن
enter-(1)	١ـ تێکەری ٢ـ کردنەناو ٣ـ چوونەناو ٤ـ تێکردن، خستنەناو ٥ـ نووسین و تێخستن، خستنەناوی کۆمپیوتەر ٦ـ تۆمارکردن (لە کۆمپیوتەردا)
Enter-(2)	دێڕگێڕ
enterprise-	پرۆژەی ئابووری
entity	پێكهاتە، بوون
environment	ژینگه، دەورووبەر
EPP	(EPP)، ئی‌پی‌پی، دەرگای هاوتەریبی نووژەنبوو
erase	سڕینەوە
error	هەڵه
escape	دەرباز
Escape-sequence	ڕیزەدەربازبوون
Ethernet	(Ethernet)، ئێسەرنێت
EtherTalk	(Ether Talk)، تێتێر تاک
event	ڕووداو
event-counter	ڕووداوژمێر
event-file	پەڕگەی ڕووداو
exa-(=-E-)	"ئێگزا-"
exabit-(=-Eb)	"ئێگزابیت"
exabyte-(=-EB)	"ئێگزابایت"
exceed	زیاتربوون یان ڕۆیشتن لە (سنوور، پەیڕەو)، تێپەڕبوون لە
execute	بەجێهێنان، جێبەجێکردن، کردن
exit-(1)	١ـ دەرگە، دەرگا، جێگەی چوونەدەرەوە ٢ـ دەرچوون، چوونەدەرەوە، ڕۆیشتن
EXIT-(2)	ئێگیزت
exit-documentation	بەڵگەسازی لە کاتی چوونەدەرەوە
expand-(1)	١ـ کردنەوە، بڵاوکردنەوە، ڕاکێشان ٢ـ کشاندن، ڕاکێشان، گەورەکردن درێژکردنەوە ٣ـ فراوانکردن، پانکردن، پەرەپێسەندن
EXPAND-(2)	"ئێکسپێند"
expert	پسپۆڕ
exploit	قۆزتنەوه
explorer	دۆزەر، گەڕاڵ
export	هەنارده، هەناردن
extensible	شیاوی پەرەسەندن، پەرەسەندنێتی
extension	١ـ درێژکردنەوە، درێژبوونەوە ٢ـ مەودا ٣ـ  پاشبەند، لق، پەل، پاشکۆ ٤ـ پەرە، پەرەسەندن ٥ـ درێژكراوه
external	دەرەكی
external-bus	تێپەڕگەی دەرەکی
extract	دەرهێنان
editor-(2)	١ـ هەڵەبڕ (هەڵەچن و هەڵەگیری گۆڤار و ڕۆژنامە) ٢ـ سەرنووسەر (ی گۆڤار و ڕۆژنامە) ٣ـ نووسەر (ی گۆڤار و ڕۆژنامە) ٤ـ  نووسەر (پرۆگرامێکە کە بۆ نووسین بەکار دەچێت) ٥ـ پێداچوو، ڕاستکەرەوە
editor-(3)	١ـ بژارکەر، هەڵوەژار (کەسێ کە کاری ڕێکوپێککردن و ئامادەکردنی فیلمێک دەکات) ٢ـ بژارکەر، هەڵوەژار (جۆرە پرۆگرامێکە‌ کە بۆ ڕێکوپێککردن و بڕین و چاککردن و ئامادەکردنی فیلم بەکار دەچێت)
edu	١ ـ پەروەردە، فێركردن ٢ـ درێژکراوەی ئەو ناونیشانە وێبییانەی کە بە فێرکردنەوە خەریکن، وەک چۆن (com.) و (org.) هەیە
effect	کاریگەری
element	توخم، ئەندام، بەش
email-group	گرووپەپۆستی ئەلەكترۆنی
emulator	لاساییكەرەوە
enable	تواناپێدان ـ توانپێدان
encode	١ـ نهێنبەندی ٢ـ نهێنبەندیکردن
encoder	بەكۆدكەر
encryption	نهێنیكردن
encyclopedia	زانیارینامە
end-	كۆتایی
energy	وزه
engine	بزوێن
F1-–-F12	دوگمەی نەخشە
fabricate	دروستکردن، پێکنان (بەهۆی کارگە)
facsimile-(=-FAX)	فاكس
false	١ـ ناتەواو، درۆ، هەڵە ٢ـ درۆزنە، ساخته، قەڵب‌
false-alarm	وریاکردنەوەی ساختە
false-code	کۆدی ناتەواو، کۆدی هەڵە
false-error	هەڵەی ساختە
FAQ	پهد ـ پرسیاری هەمیشه دووباره ـ پرسیار و وەڵام
FAT	FAT، فەت
FAT32	(FAT32)، فەت٣٢
favorite	دڵخواز، پەسند، هەڵبژارده
FAX-(=-facsimile-=-fax)	فاکس، فەکس
fax-=-FAX	بنواڕە FAX
FDDI	(FDDI)، ئێف‌دی‌دی‌ئای
feed	١ـ خورد، خۆراک ٢ـ خۆراکپێدان، خۆراندن ٣ـ پێشبردن
feed-track	هێڵگەی پێشبەری (لە شریتی کاغەزیدا)
feedback	١ـ پێڕاگەیاندنەوە ٢ـ پاشخوارد، پاشخورد، وەڵامدانەوە بە وتە یا کردار، هەستپیشاندان بەرانبەر کردار یا ڕەفتارێک
feedback-amplifier	وزەپێدەری پاشخوردی
feedback-circuit	خولگەی پاشخوردی
feedback-control	کۆنترۆڵی پاشخوردی
feeder	١ـ پێشبەر ٢ـ خۆراکدەر
feeder-cable	کێبڵی خۆراک
feedforward	پێشخورد، پێشخوارد
feedforward-hole	کونی پێشبەری (لە کاغەزدا)
feedforward-register	تۆماری پێشخوردی
feedline	هێڵەخۆراك
female	مێینە
ferric-RAM-(=-FRAM)	"فێڕیک‌ ڕام"
field	بوار، خانه
file	پەڕگه، فایل
file-allocation-table-(=-Fat)	خشتەی تەرخانی پەڕگە
file-system	سیستەمی پەڕگە
filter-	پاڵێو
find	دۆزینەوە
finger	"فینگر"
finish	١ـ تەواو، کۆتایی ٢ـ تەواوکردن، کۆتاییپێهێنان
firewall	ئاگرەدیوار
FireWire-	"فایروایر"
firmware	پتەوواڵە، "فیرم‌وەیر"
fixed	جێگیر، جێگیرکراو، جێگیربوو، چەسپاو، دیاریکراو، سەقامگیر، نەجووڵاو، نەگۆڕ، قیت، وەستاو، پتەو
flag	١ـ ئاڵا، نیشانه ٢ـ نیشانەنوێن
flash	فلاش
float	كەرت
Floating-point-number	ژمارەی كەرتی، ژمارەی بۆرـ‌ سەرئاو، ژمارەی بۆرسەرئاو
floppy-	دیسكی نەرم
folder	بوخچه
font	جۆرەپیت
footer	پێپەڕە
footnote	پەراوێز‌، پانووس
force	هێز، زۆرلێكردن
foreground	پێشبنەما
foreign-	بیانی
format	فۆرمات
forth	(forth)، فۆرت
forum	مەكۆ
forward-(1)	بینێرە بۆ
forward-(2)	بەرڕۆیی، پێشڕۆیی
forward-(3)	١ـ بەرڕۆ، پێشڕۆ، ڕووبەپێش ٢ـ ڕاستەوخۆ
forward-difference	جیاوازیی پێشڕۆ، جیاوازیی بەرڕۆ
forward-error-recovery	چێکردنەوەی هەڵە لە پێشدا، چێکردنەوەی پێشگیرانەی هەڵە
FQDN	FQDN، (ناوی تەواوی دۆمەین لە ئینتەرنێتدا. بۆ وێنە www.zkurd.org)
fragment-	١ـ پارچە، لەت، کەرت، کوت، "فراگمنت" ٢ـ  پارچەبەندیکردن، لەتبەندیکردن
frame	چوارچێوە
free	١ـ ئازاد، سەربەست ٢ـ خۆڕایی ٣ـ ڤالا، بەتاڵ
free-software	نەرمەواڵەی خۆڕایی، نەرمەواڵەی ئازاد
freemail	پۆستی ئازاد
freeware	خۆڕاییواڵە، پرۆگرامی خۆڕایی، نەرمەواڵەی خۆڕایی
frequency	دووبارە، شەپۆل ـ لەرە، لەرەلەر
front	پێش، بەرە
FSB	FSB
FSF	FSF
FTP	"ئێف‌تی‌پی"، کۆنووسی گواستنەوەی پەڕگە
function	١ـ نەخشە، ئەرک، کردار ٢ـ پابەند
function-call	بانگهێشتكردنی نەخشە
function-key	كلیل لەسەر تەختەكلیل كە كورتكراوەی كرداری دیاریكراون
functional	١ ـ نەخشەیی، ئەرکی، کرداری ٢ـ پابەندی
fuzzy	لێڵ، ناڕوون، نائاشکرا
fuzzy-logic	ژیربێژیی لێڵ، دەستەواژەی فوزی
FYI-(=-For-Your-Information)	"بۆ زانیاریت"، كورتكراوەیە بۆ پێدانی ئاگادارییەك لە هەبوونی زانیاری
FDDI	(FDDI)، ئێف‌دی‌دی‌ئای
feed	١ـ خورد، خۆراک ٢ـ خۆراکپێدان، خۆراندن ٣ـ پێشبردن
feed-track	هێڵگەی پێشبەری (لە شریتی کاغەزیدا)
feedback	١ـ پێڕاگەیاندنەوە ٢ـ پاشخوارد، پاشخورد، وەڵامدانەوە بە وتە یا کردار، هەستپیشاندان بەرانبەر کردار یا ڕەفتارێک
feedback-amplifier	وزەپێدەری پاشخوردی
feedback-circuit	خولگەی پاشخوردی
feedback-control	کۆنترۆڵی پاشخوردی
feeder	١ـ پێشبەر ٢ـ خۆراکدەر
feeder-cable	کێبڵی خۆراک
feedforward	پێشخورد، پێشخوارد
feedforward-hole	کونی پێشبەری (لە کاغەزدا)
feedforward-register	تۆماری پێشخوردی
feedline	هێڵەخۆراك
female	مێینە
ferric-RAM-(=-FRAM)	"فێڕیک‌ ڕام"
game	یاری، وازی، گەمە
gate	دەروازه
gateway	دەرەڕێ
GB/sec-	١ـ گیگابایت لە چرکەدا ٢ـ گیگابیت لە چرکەدا ٣ـ گب/ چ
Gbps-(=-GB/sec)	گ.ب.ل.چ
general	گشتی
generate	بەدیهێنان
GIF-(1)	"گیف"، فۆرماتی ناوبەستی گرافیک
GIF-(2)	(جۆرە درێژکراوەیەکی پەڕگە)
gig-=-giga-	بنواڕە -giga
giga-	"گیگا-"، "جیگا-"
global	جیهانی
GNU	GNU، "گنو"
Gopher	Gopher، "گوفێر"
graph	١ـ گراف، نیگارە ٢ـ نەخشەک، هێڵکاریی ڕوونکردنەوە
graphic	گرافیك، نیگارەیی
graphic-card	كارتی گرافیك، کارتی نیگارە
graphical-user-interface	ناوبەستی نیگارەییی بەکارهێنەر، نێوانەڕووی گرافیکیی بەکاربەر، "جی‌یوو‌ئای"
group	گرووپ، دەستە، پۆل
guarantee	دەستەبەری
guest	میوان
guestbook	پەڕاوی میوان
GUI	ڕووكاری وێنەسازراو بۆ وتووێژ لەگەڵ بەكارهێنەر
GUID	تاكە كۆدێكی جیاكەرەوەی گشتییە، كۆدێكی بێ هاوتایە بۆ جیاكردنەوە
gutter	پەراوێزی ستوون
graphic	گرافیك، نیگارەیی
graphic-card	كارتی گرافیك، کارتی نیگارە
graphical-user-interface	ناوبەستی نیگارەییی بەکارهێنەر، نێوانەڕووی گرافیکیی بەکاربەر، "جی‌یوو‌ئای"
group	گرووپ، دەستە، پۆل
guarantee	دەستەبەری
guest	میوان
guestbook	پەڕاوی میوان
GUI	ڕووكاری وێنەسازراو بۆ وتووێژ لەگەڵ بەكارهێنەر
GUID	تاكە كۆدێكی جیاكەرەوەی گشتییە، كۆدێكی بێ هاوتایە بۆ جیاكردنەوە
gutter	پەراوێزی ستوون
hack	١ـ "هەک" ٢ـ خۆترنجاندن ٣ـ دزینی زانیاری ٤ـ چوونەژوورەوەی ڕێنەدراو بە سیستەم، خۆترنجاندن بە سیستەم، دزەکردن بە سیستەم ٥ـ دزە ٦ـ ئازارد‌انی کۆمپیوتەری
hacker	١ـ "هەکر"، خۆترنجێنەر، دزەکەر ٢ـ دزی زانیاری، زانیاریدز ٣ـ ئازاردەری کۆمپیوتەری ٤ـ کۆمپیوتەردۆست، کۆمپیوتەرچی، پێژمێرچی، دراوەچی
hacking	١ـ دزینی زانیاری، زانیاریدزی ٢ـ ئازاردانی کۆمپیوتەری ٣ـ پێژمێردۆستی ٤ـ خۆترنجان
handheld-computer	كۆمپیوتەری دەستی
hangup	١ـ داخستن (هێڵی تەلەفۆن) ٢ـ کپبوو، گیرکردوو، وەستاو
hard-disk	دیسكی ڕەق، پەپكەڕەقە
hard-disk-drive-	وەگەڕخەری دیسکی ڕەق، "ئێچ‌دی‌دی"
hardcode	قورسە ڕژێم
Hardware	ڕەقەواڵه، ڕەقەئامێر، سەختەواڵە ، كاڵاڕەق
hardware-bridge	پردی ڕەقەواڵە
hash	وردكردن
hash-(#)	پەیژە
header-(1)	١ـ دەستپێک ٢ـ ناونیشان
header-(2)	سەرپەڕە
heap	شوێنی هەڵگرتن، بیرگەی بزۆك
height	بەرزی
help-(1)	یارمەتی، ڕێنوێنی
help-(2)	هێڵپ
help-command	فەرمانی ڕێنوێنی، فەرمانی یارمەتی
help-file	پەڕگەی ڕێنوێنی، پەڕگەی یارمەتی، پەڕگەی یارمەتیدەر، پەڕگەی ڕێنوێن
hertz	هێرتز، یەکەی پێوانی لەرە
hesitation	درەنگ
hexadecimal	ژمارەی شازدەیی
hexadecimal-system	ڕژێمی شانزده ژمارەیی
hibernate	دۆخەپشوو
hidden	شاراوە، پەنهان
hidden-defect	خەوشی شاراوە
hide	شاردنەوە
history	مێژوو
hits	بەركەوتن
hole	كون
home	ماڵەوە
home-page-(=-homepage)	ماڵپەڕ
horizontal	ئاسۆیی
host	خانەخوێ
host-adapter	گونجێنەری خانەخوێ
host-computer	کۆمپیوتەری خانەخوێ
host-drive	وەگەڕخەری خانەخوێ، دیسکوەگەڕخەری خانەخوێ
host-language	زمانی خانەخوێ
host-system	سیستەمی خانەخوێ
hot	داخ
hot-fix-=-hotfix	hot fix)، چارەساز، چارەكەر
hot-key	(hot key)، کلیلی داخ، دوگمەی خێرا، خێرادوگمە
hot-plug	hot plug
hot-spot	(hotspot)، خاڵی داخ
hot-swap	hot swap، جێگرەوەی داخ
hotSync	hotSync
HTML	(HTML)، ئێچ‌تی‌ئێم‌ئێڵ، زمانی نیشانەدانانی سەروودەق
HTTP	ئێچ‌تی‌تی‌پی، پرۆتۆکۆلی گواستنەوەی سەروودەق
hub	تۆپە
hyperlink	سەرووبەستەر
hyperlink-address	ناونیشانی سەرووبەستەر
hypermedia	سەروو‌ڕاگەیێنەکان
hyperpage	سەرووپەڕە
hyperpaging	سەرووپەڕەپەڕەدانەوه
hypersearch	سەرووگەڕان
HyperTalk	هایپرـ تاک
hypertext	سەروودەق
hyphen	بەستهێڵ، كورتەتەقەڵ
heap	شوێنی هەڵگرتن، بیرگەی بزۆك
height	بەرزی
help-(1)	یارمەتی، ڕێنوێنی
help-(2)	هێڵپ
help-command	فەرمانی ڕێنوێنی، فەرمانی یارمەتی
help-file	پەڕگەی ڕێنوێنی، پەڕگەی یارمەتی، پەڕگەی یارمەتیدەر، پەڕگەی ڕێنوێن
hertz	هێرتز، یەکەی پێوانی لەرە
hesitation	درەنگ
hexadecimal	ژمارەی شازدەیی
hexadecimal-system	ڕژێمی شانزده ژمارەیی
hibernate	دۆخەپشوو
hidden	شاراوە، پەنهان
hidden-defect	خەوشی شاراوە
hide	شاردنەوە
history	مێژوو
IBM	(IBM)، ئای‌بی‌ئێم
ICANN	(ICANN) ئای‌کان
ICMP	(ICMP)، پرۆتۆکۆلی پەیامی کۆنترۆڵی ئینتەرنێت
ICO	(جۆرێک درێژکراوەی پەڕگە)
icon	وێنۆچكە
ICQ	(ICQ)، ئای‌سیک‌یو، ئای‌سی‌کیو
IDE-(1)	(IDE)، ئای‌دی‌ئی
IDE-(2)	ژینگەیەكی تەواو بۆ پەرەپێدانی بەرنامەكان
identification	پێناس، ناسنامە
identifier	ناسێنەر، پێناسدیاریكەر
IGMP	(IGMP)، ئای‌جی‌ئێم‌پی، پرۆتۆکۆلی گرووپی بەڕێوەبەرایەتیی ئینتەرنێت
IIS	(IIS)، ئای‌ئای‌ئێس، دەبڵ‌ئای‌ئێس، ڕاژەکاری زانیاریی ئینتەرنێت
illegal	نایاسایی، ڕێپێنەدراو
iMAC	(iMAC)، ئای‌مەک
image	وێنە
imagine	وێناکردن، بۆچوون
impedance	بەرگریی ڕواڵەتی، بەرگریی ڕووکەشانە، ئیمپێدانس
implies	ئەگرێتەخۆ
import	١ـ هێنان، هاوردن، ٢- هاوردە
improve	چاککردن، باشکردن، چاکترکردن، پەرەپێسەندن، پێشخستن
improved	چاکبوو، باشبوو
improved-version	وەشانی چاکبوو، وەشانی باشبوو
improvment	باشی، چاکی
increment-	پەرە، زۆربوون
index	١ـ پێڕست ٢ـ نوانە، پێنوێن، نیشاندەر، پیشاندەر
index-bilding-	چێکردنی نوانە، نوانەچێکەری، نوانەسازی
indexed	نوانەدار
indexed-access	دەستپێگەیشتنی نوانەدار
indexed-address	ناونیشانی نوانەدار
indexed-file	پەڕگەی نوانەدار
indexed-instruction	ڕێکارنامەی نوانەدار، فەرماننامەی نوانەدار
information	زانیاری
information-provider-(=-content-provider-=-IP)	پێکهێنەری زانیاری، بەدەستهێنەری زانیاری
Information-Technology-	تەكنۆلۆژیای زانیاری، پیشەزانیی زانیاری
infrared	ژێرسوور
initialize	نرخی سەرەتایی‌ پێدان، پێدانی نرخی سەرەتایی
input	١ـ تێكردن ٢ـ تێخستە، تێچوو، تێخراو ٣ـ ناوچوونگە
input-(device)	تێخستە، تێچوو، تێخراو، ئامێری تێچوو "تێخراو"، بەناوبەر، ئامێری بەناوبەر
input-area	ناوچەی تێخستە (تێچوو)
input-block	بەربەستی تێخستە (تێچوو)
input-buffer	نێوانگری تێخستە (تێچوو)
input-bus	تێپەڕگەی تێخستە (تێچوو)
insert	تێخستن
install	دامەزراندن، دامەزران
InstallShield-	قەڵغانی دامەزراندن
instance-	نموونە
instant	دەستبەجێ
instant-message-	پەیامی دەستبەجێ
instruction	ڕێکارنامە، فەرماننامە
insurance	پارێزه
int	بنواڕە integer type
integer	ژمارەی تەواو
integer-type	جۆری تەواو
integration-	تەواوكردن
interactive	كارلێكردن - دوولایەنه
interface	١ـ ڕووکار ٢ـ نێوانەڕوو ٣ـ ناوبەست (واتە وەک ناوبەستێ کە دەتوانێ دوو شت پێکەوە ببەستێتەوە)
internal	ناوەكی
internal-bus	تێپەڕگەی ناوەکی
internet	ئینتەرنێت، ئینترنێت، ئینترنت
intranet	ئینترانێت
invite	بانگێشتن، بانگهێشتكردن
IP-(1)	(IP)، ئای‌پی، پرۆتۆکۆلی ئینتەرنێت، کۆنووسی ئینتەرنێت
IP-(2)	بنواڕە information provider
IP-address-	ناونیشانی ئای‌پی، ناونیشانی کۆنووسی ئینتەرنێت
ISBN-	ژمارەی سپاردن، پێوەرەژمارەی نێونەتەوەییی کتێب
ISDN	(ISDN)، ئای‌ئێس‌دی‌ئێن، ڕایەڵەی ئای‌ئێس‌دی‌ئێن، ڕایەڵەی ڕەنووسیی ڕاژە هاوکۆکان
issue	١- ئەنجام، بەرهەم ٢- دەرکردن (ڕۆژنامە، گۆڤار) ٣- بڵاوکراوە (ڕۆژنامە، گۆڤار) ٤- ژمارە (ی ڕۆژنامە و گۆڤار)
IT-	تەكنۆلۆژیای زانیاری
italic	لار
item	دانە، بڕگە
iTunes	ڕاژەگەری (خزمەتگوزاری)ی مۆسیقایە لەڕێگەی نەرمەواڵەیەکەوە كۆمپانیای ئەپڵ پێشكەشی دەكات
image	وێنە
imagine	وێناکردن، بۆچوون
impedance	بەرگریی ڕواڵەتی، بەرگریی ڕووکەشانە، ئیمپێدانس
implies	ئەگرێتەخۆ
import	١ـ هێنان، هاوردن، ٢- هاوردە
improve	چاککردن، باشکردن، چاکترکردن، پەرەپێسەندن، پێشخستن
improved	چاکبوو، باشبوو
improved-version	وەشانی چاکبوو، وەشانی باشبوو
improvment	باشی، چاکی
increment-	پەرە، زۆربوون
index	١ـ پێڕست ٢ـ نوانە، پێنوێن، نیشاندەر، پیشاندەر
index-bilding-	چێکردنی نوانە، نوانەچێکەری، نوانەسازی
indexed	نوانەدار
indexed-access	دەستپێگەیشتنی نوانەدار
indexed-address	ناونیشانی نوانەدار
J2EE	J2EE
Jackson-structured-programming-	پرۆگرامکردنی پێکهاتەی جەکسۆن
jaggies	زیگزاگ، لابەلا
jar-(1)	(زەبروەشاندنی توند لە ئامێر و دەزگا)
jar-(2)	ئەرشیڤی جاڤا
Java	جاڤا
JavaScript-	جاڤاسکریپت
JDBC	(JDBC)، جەی‌دی‌بی‌سی، پێکەوەبەستنی بنکەدراوەی جاڤا
JDK	(JDK)، جەی‌دی‌کەی
JHTML-	(JHTML)، جەی‌ئێچ‌تی‌ئێم‌ئێڵ، جاڤا لەناو زمانی هێمادانانی سەروودەق
jini	(jini)، "جینی"
job	كار
Joliet	(Joliet)، جولیت
journal-(1)	١ـ گۆڤار ٢ـ ڕۆژنامە
journal-(2)	١ـ بیرنامە، یادنامەی ڕۆژانە، یادداشت ٢ـ پەڕاوی بیرنامە
journal-(3)	ژوورنال
journal-(4)	ژوورنال
journal-(5)	ڕاگرە یا جێی ڕاگیربوونی تەوەر (مەکینەگەری)
JPEG	(JPEG)، جەی‌پێج
JRE	(JRE)، ژینگەی ماوەی گەڕانی جاڤا
JSP-(2)	(JSP)، جەی‌ئێس‌پی، پەڕەی ڕاژەکاری جاڤا
jumper	بازدەر
junk-(1)	خڕەوپڕە، شڕەوپڕەی کۆمپیوتەری
junk-(2)	بێگیان، مانگی دەستکردی مردوو
junk-(3)	١ـ بێکەڵک ٢ـ بێگیان ٣ـ بێکەڵککردن ٤ـ بێگیانکردن
junk-a-file	سڕینەوەی پەڕگە
junk-mail	پۆستی بێكەڵك
justify	هاوڕێکی، هاوستوونی
JVM	(JVM)، جەی‌ڤی‌ئێم
journal-(3)	ژوورنال
journal-(4)	ژوورنال
journal-(5)	ڕاگرە یا جێی ڕاگیربوونی تەوەر (مەکینەگەری)
JPEG	(JPEG)، جەی‌پێج
JRE	(JRE)، ژینگەی ماوەی گەڕانی جاڤا
JSP-(2)	(JSP)، جەی‌ئێس‌پی، پەڕەی ڕاژەکاری جاڤا
jumper	بازدەر
junk-(1)	خڕەوپڕە، شڕەوپڕەی کۆمپیوتەری
junk-(2)	بێگیان، مانگی دەستکردی مردوو
junk-(3)	١ـ بێکەڵک ٢ـ بێگیان ٣ـ بێکەڵککردن ٤ـ بێگیانکردن
junk-a-file	سڕینەوەی پەڕگە
junk-mail	پۆستی بێكەڵك
justify	هاوڕێکی، هاوستوونی
K	كیلۆ
KDE	کەی‌دی‌ئی
kernel	ناووك
key	١ـ كلیل ٢ـ دوگمە
keyboard	تەختەكلیل
keyword	کلیلەوشە
